2024/10/23 00:47:20 [emerg] 1#1: "events" directive is not allowed here in /etc/nginx/conf.d/default.conf:1
2024/10/23 00:49:45 [notice] 1#1: using the "epoll" event method
2024/10/23 00:49:45 [notice] 1#1: nginx/1.27.2
2024/10/23 00:49:45 [notice] 1#1: built by gcc 13.2.1 20240309 (Alpine 13.2.1_git20240309) 
2024/10/23 00:49:45 [notice] 1#1: OS: Linux 5.15.153.1-microsoft-standard-WSL2
2024/10/23 00:49:45 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2024/10/23 00:49:45 [notice] 1#1: start worker processes
2024/10/23 00:49:45 [notice] 1#1: start worker process 29
2024/10/23 00:49:45 [notice] 1#1: start worker process 30
2024/10/23 00:49:45 [notice] 1#1: start worker process 31
2024/10/23 00:49:45 [notice] 1#1: start worker process 32
2024/10/23 00:49:45 [notice] 1#1: start worker process 33
2024/10/23 00:49:45 [notice] 1#1: start worker process 34
2024/10/23 00:49:45 [notice] 1#1: start worker process 35
2024/10/23 00:49:45 [notice] 1#1: start worker process 36
2024/10/23 00:49:45 [notice] 1#1: start worker process 37
2024/10/23 00:49:45 [notice] 1#1: start worker process 38
2024/10/23 00:49:45 [notice] 1#1: start worker process 39
2024/10/23 00:49:45 [notice] 1#1: start worker process 40
2024/10/23 00:49:45 [notice] 1#1: start worker process 41
2024/10/23 00:49:45 [notice] 1#1: start worker process 42
2024/10/23 00:49:45 [notice] 1#1: start worker process 43
2024/10/23 00:49:45 [notice] 1#1: start worker process 44
2024/10/23 00:49:45 [notice] 1#1: start worker process 45
2024/10/23 00:49:45 [notice] 1#1: start worker process 46
2024/10/23 00:49:45 [notice] 1#1: start worker process 47
2024/10/23 00:49:45 [notice] 1#1: start worker process 48
2024/10/23 00:49:45 [notice] 1#1: start worker process 49
2024/10/23 00:49:45 [notice] 1#1: start worker process 50
2024/10/23 00:49:45 [notice] 1#1: start worker process 51
2024/10/23 00:49:45 [notice] 1#1: start worker process 52
2024/10/23 00:49:45 [notice] 1#1: start worker process 53
2024/10/23 00:49:45 [notice] 1#1: start worker process 54
2024/10/23 00:49:45 [notice] 1#1: start worker process 55
2024/10/23 00:49:45 [notice] 1#1: start worker process 56
2024/10/23 00:49:45 [notice] 1#1: start worker process 57
2024/10/23 00:49:45 [notice] 1#1: start worker process 58
2024/10/23 00:49:45 [notice] 1#1: start worker process 59
2024/10/23 00:49:45 [notice] 1#1: start worker process 60
